Название товара,Описание,Характеристики,Цена без скидки,Цена со скидкой,Рейтинг,Отзывы,Заказы,Магазин,Ссылка на магазин,Ссылка на товар
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21.5 см; Высота упаковки: 11.7 см; Длина упаковки: 33 см; Материал подкладки обуви: ткань; Страна производства: Китай; ТНВЭД: 6404110000; Вид застежки: шнуровка; Материал подошвы обуви: ЭВА; Материал стельки: ткань; Полнота обуви (EUR): G (7),2828.0р,1244.0р,5,148,Более 500,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/54778022/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21.1 см; Высота каблука: 4.2 см; Высота подошвы: 1.8 см; Высота упаковки: 21.1 см; Длина упаковки: 30 см; Материал подкладки обуви: ткань; Материал подошвы обуви: ТПР; Материал стельки: ткань; Страна производства: Китай; Вид застежки: шнуровка; Полнота обуви (EUR): G (7); ТНВЭД: 6403993300,3908.0р,1602.0р,5,2,Более 30,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/87628817/detail.aspx
Полуботинки женские,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 24 см; Высота каблука: 5 см; Высота подошвы: 2.5 см; Высота упаковки: 12 см; Длина упаковки: 31 см; Вид застежки: шнуровка; Материал подошвы обуви: филон; Материал стельки: текстиль; Материал подкладки обуви: текстиль; Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6403993300,2816.0р,1661.0р,5,88,Более 400,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/21258918/detail.aspx
Самокат,Размер готового к использованию товара 60*30*84 см.,Вес с упаковкой (кг): 2.9 кг; Вес без упаковки (кг): 2.3 кг; Ширина упаковки: 10 см; Высота упаковки: 21 см; Длина упаковки: 62 см; Страна производства: Китай; Тип колес: полиуретан; Особенности самоката: светящиеся колеса; Тип самоката: складной; Число колес: 2; Возрастные ограничения: 7+,3331.0р,1299.0р,4,118,Более 500,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/63903078/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 20.7 см; Высота каблука: 4.5 см; Высота подошвы: 2 см; Высота упаковки: 12.3 см; Длина упаковки: 33.8 см; ТНВЭД: 6403993300; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА; Материал стельки: ткань; Вид застежки: шнуровка; Полнота обуви (EUR): G (7); Страна производства: Китай,3124.0р,1843.0р,4,20,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/56285537/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 20 см; Высота упаковки: 11.5 см; Длина упаковки: 30.5 см; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; Материал подкладки обуви: ткань; Материал стельки: ткань; Страна производства: Китай; ТНВЭД: 6404110000,2600.0р,1118.0р,5,21,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/61245143/detail.aspx
Полуботинки,,Ширина упаковки: 20.7 см; Высота каблука: 4 см; Высота подошвы: 1.8 см; Высота упаковки: 12.3 см; Длина упаковки: 33.8 см; Вид застежки: шнуровка; Материал подошвы обуви: ЭВА (этиленвинилацетат); Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6403993300; Материал подкладки обуви: синтетическая ткань; Материал стельки: текстиль,2746.0р,1455.0р,5,16,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/36349369/detail.aspx
Полуботинки женские,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 24 см; Высота каблука: 5 см; Высота подошвы: 2.5 см; Высота упаковки: 12 см; Длина упаковки: 31 см; Материал стельки: текстиль; Страна производства: Китай; Материал подошвы обуви: филон; Материал подкладки обуви: текстиль; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; ТНВЭД: 6403993300,2905.0р,1423.0р,5,88,Более 300,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/21258919/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 20 см; Высота каблука: 4 см; Высота подошвы: 2 см; Высота упаковки: 11 см; Длина упаковки: 30 см; ТНВЭД: 6403993300; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; Материал стельки: ткань; Страна производства: Китай; Материал подкладки обуви: ткань,2499.0р,1324.0р,4,15,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59848852/detail.aspx
Ботинки,,Ширина упаковки: 25.5 см; Высота каблука: 5.5 см; Высота подошвы: 2.5 см; Высота упаковки: 11.5 см; Длина упаковки: 31 см; Высота голенища: 11.5 см; Материал стельки: флис; Страна производства: Китай; Вид застежки: шнуровка; Материал подошвы обуви: ЭВА (этиленвинилацетат); Полнота обуви (EUR): G (7); ТНВЭД: 6403511500; Материал подкладки обуви: флис,2579.0р,1315.0р,5,131,Более 900,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/37031801/detail.aspx
Кроссовки,,Ширина упаковки: 35 см; Высота упаковки: 30 см; Длина упаковки: 20.5 см; Материал подошвы обуви: филон; Материал подкладки обуви: текстиль; Полнота обуви (EUR): G (7); Назначение обуви: повседневная; Вид застежки: без застежки; Страна производства: Китай; Материал стельки: текстиль; ТНВЭД: 6404110000,3224.0р,1483.0р,5,157,Более 1700,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/8144070/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 19.8 см; Высота каблука: 5 см; Высота подошвы: 2.5 см; Высота упаковки: 11.3 см; Длина упаковки: 30.5 см; Материал подкладки обуви: синтетическая ткань; Полнота обуви (EUR): G (7); Материал подошвы обуви: ЭВА (этиленвинилацетат); ТНВЭД: 6403993300; Вид застежки: шнуровка; Материал стельки: текстиль; Страна производства: Китай,2832.0р,1699.0р,4,39,Более 50,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/53593603/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 20 см; Высота упаковки: 11 см; Длина упаковки: 30 см; Страна производства: Китай; ТНВЭД: 6404110000; Материал подкладки обуви: синтетическая ткань; Материал стельки: текстиль; Вид застежки: шнуровка; Полнота обуви (EUR): G (7); Материал подошвы обуви: ЭВА (этиленвинилацетат),2477.0р,1362.0р,5,27,Более 300,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/34783429/detail.aspx
Велосипед двухколесный,,Количество скоростей велосипеда: 6 шт.; Вес с упаковкой (кг): 13.2 кг; Нагрузка максимальная: 50 кг; Ширина упаковки: 22 см; Высота упаковки: 58 см; Длина упаковки: 122 см; Материал рамы/основания: сталь; Амортизация: Жесткая вилка; Конструкция вилки: жесткая; Возрастные ограничения: 7+; Материал обода: алюминий; Тип тормозов велосипеда: V-brake; Страна производства: Китай,23075.0р,9922.0р,5,7,Более 30,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/63531747/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21.1 см; Высота каблука: 4.3 см; Высота подошвы: 2.2 см; Высота упаковки: 21.1 см; Длина упаковки: 30 см; Страна производства: Китай; Материал подошвы обуви: ЭВА; Вид застежки: шнуровка; Полнота обуви (EUR): G (7); Материал подкладки обуви: ткань; Материал стельки: ткань; ТНВЭД: 6403993300,2563.0р,1999.0р,5,8,Более 20,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/87420475/detail.aspx
Ботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 32 см; Высота каблука: 4.3 см; Высота подошвы: 2.2 см; Высота упаковки: 12 см; Длина упаковки: 26 см; Высота голенища: 9.5 см; Вид застежки: шнуровка; Материал подкладки обуви: флис; Материал стельки: флис; Материал подошвы обуви: ЭВА (этиленвинилацетат); Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6403511500,2999.0р,1889.0р,4,18,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/38827407/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21 см; Высота каблука: 4 см; Высота подошвы: 2.1 см; Высота упаковки: 11 см; Длина упаковки: 26 см; Материал подошвы обуви: ЭВА; Материал стельки: хлопок; ткань; Полнота обуви (EUR): F (6); Страна производства: Китай; Вид застежки: шнуровка; Материал подкладки обуви: хлопок; ткань; ТНВЭД: 6403993300,1999.0р,1099.0р,4,17,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59725362/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 24 см; Высота каблука: 5 см; Высота подошвы: 2.5 см; Высота упаковки: 12 см; Длина упаковки: 30 см; Полнота обуви (EUR): G (7); Материал подошвы обуви: ЭВА (этиленвинилацетат); Страна производства: Китай; Вид застежки: шнуровка; Материал стельки: текстиль; ТНВЭД: 6403993300; Материал подкладки обуви: синтетическая ткань,2856.0р,1999.0р,5,16,Более 90,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/53593602/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 23 см; Высота каблука: 3.7 см; Высота подошвы: 1 см; Высота упаковки: 10 см; Длина упаковки: 30 см; ТНВЭД: 6403993300; Материал подошвы обуви: ТПР; Страна производства: Китай; Материал стельки: текстиль; Вид застежки: шнуровка; Материал подкладки обуви: синтетическая ткань; Полнота обуви (EUR): G (7),2848.0р,1737.0р,5,20,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/53593701/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 23 см; Высота упаковки: 14 см; Длина упаковки: 33 см; ТНВЭД: 6404110000; Материал подкладки обуви: ткань; Материал стельки: ткань; Вид застежки: шнуровка; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): G (7); Страна производства: Китай,2630.0р,1499.0р,5,69,Более 600,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59848866/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Вес (г): 500 г; Ширина упаковки: 21.5 см; Высота упаковки: 11.7 см; Длина упаковки: 33 см; Материал подкладки обуви: ткань; Материал стельки: ткань; ТНВЭД: 6404110000; Полнота обуви (EUR): G (7); Страна производства: Китай; Вид застежки: шнуровка; Материал подошвы обуви: ЭВА,3057.0р,1559.0р,5,23,Более 300,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/54777988/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 20 см; Высота упаковки: 11.5 см; Длина упаковки: 30.5 см; Страна производства: Китай; Вид застежки: шнуровка; Полнота обуви (EUR): G (7); ТНВЭД: 6404110000; Материал подкладки обуви: синтетическая ткань; Материал стельки: текстиль; Назначение обуви: ходьба; Материал подошвы обуви: ЭВА (этиленвинилацетат); Вид каблука: без каблука,2150.0р,1204.0р,4,25,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/29655982/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 22 см; Высота упаковки: 12 см; Длина упаковки: 31 см; Материал подошвы обуви: ЭВА; Материал стельки: ткань; Полнота обуви (EUR): G (7); Страна производства: Китай; Материал подкладки обуви: ткань; ТНВЭД: 6403993300,2930.0р,1699.0р,5,13,Более 70,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/58609694/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 22 см; Высота каблука: 3 см; Высота подошвы: 1.5 см; Высота упаковки: 22 см; Длина упаковки: 22 см; Вид застежки: шнуровка; Материал подошвы обуви: резина; Полнота обуви (EUR): G (7); Материал подкладки обуви: синтетическая ткань; Страна производства: Китай; Материал стельки: текстиль; ТНВЭД: 6403993300,2805.0р,1178.0р,5,69,Более 400,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/33963661/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 12 см; Высота упаковки: 20 см; Длина упаковки: 31 см; Материал подошвы обуви: филон; Вид каблука: стандартный средний (до 9 см); Полнота обуви (EUR): G (7); Вид застежки: без застежки; Материал подкладки обуви: текстиль; Страна производства: Китай; Материал стельки: текстиль; ТНВЭД: 6404110000,3029.0р,1817.0р,5,206,Более 3400,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/9766753/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 23 см; Высота каблука: 4.7 см; Высота подошвы: 1.8 см; Высота упаковки: 10 см; Длина упаковки: 33 см; Вид застежки: шнуровка; Материал подкладки обуви: ткань; Страна производства: Китай; Полнота обуви (EUR): G (7); Материал подошвы обуви: ЭВА; Материал стельки: ткань; ТНВЭД: 6403993300,2738.0р,1670.0р,5,44,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59848849/detail.aspx
